Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
90,Chattisgarh,MAHASAMUND(9),Bharatiya Janata Party(BJP),ROOP KUMARI CHOUDHARY,703659,145456
91,Chattisgarh,RAIGARH(2),Bharatiya Janata Party(BJP),RADHESHYAM RATHIYA,808275,240391
92,Chattisgarh,RAIPUR(8),Bharatiya Janata Party(BJP),BRIJMOHAN AGRAWAL,1050351,575285
93,Chattisgarh,RAJNANDGAON(6),Bharatiya Janata Party(BJP),SANTOSH PANDEY,712057,44411
94,Chattisgarh,SURGUJA(1),Bharatiya Janata Party(BJP),CHINTAMANI MAHARAJ,713200,64822
95,Dadra & Nagar Haveli,Dadar & Nagar Haveli(2),Bharatiya Janata Party(BJP),DELKAR KALABEN MOHANBHAI,121074,57584
96,Daman & Diu,Daman & Diu (1),Independent - IND,PATEL UMESHBHAI BABUBHAI,42523,6225
97,Goa,North Goa(1),Bharatiya Janata Party(BJP),SHRIPAD YESSO NAIK,257326,116015
98,Goa,South Goa(2),Indian National Congress (INC),CAPTAIN  VIRIATO FERNANDES,217836,13535
99,Gujarat,Ahmedabad East(7),Bharatiya Janata Party(BJP),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
100,Gujarat,Ahmedabad West(8),Bharatiya Janata Party(BJP),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
101,Gujarat,Amreli(14),Bharatiya Janata Party(BJP),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
102,Gujarat,Anand(16),Bharatiya Janata Party(BJP),MITESH PATEL (BAKABHAI),612484,89939
103,Gujarat,Banaskantha(2),Indian National Congress (INC),GENIBEN NAGAJI THAKOR,671883,30406
104,Gujarat,Bardoli(23),Bharatiya Janata Party(BJP),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
105,Gujarat,Bharuch(22),Bharatiya Janata Party(BJP),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
106,Gujarat,Bhavnagar(15),Bharatiya Janata Party(BJP),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
107,Gujarat,Chhota Udaipur(21),Bharatiya Janata Party(BJP),JASHUBHAI BHILUBHAI RATHVA,796589,398777
108,Gujarat,Dahod(19),Bharatiya Janata Party(BJP),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
109,Gujarat,Gandhinagar(6),Bharatiya Janata Party(BJP),AMIT SHAH,1010972,744716
110,Gujarat,Jamnagar(12),Bharatiya Janata Party(BJP),POONAMBEN HEMATBHAI MAADAM,620049,238008
111,Gujarat,Junagadh(13),Bharatiya Janata Party(BJP),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
112,Gujarat,Kachchh(1),Bharatiya Janata Party(BJP),CHAVDA VINOD LAKHAMSHI,659574,268782
113,Gujarat,Kheda(17),Bharatiya Janata Party(BJP),DEVUSINH CHAUHAN,744435,357758
114,Gujarat,Mahesana(4),Bharatiya Janata Party(BJP),HARIBHAI PATEL,686406,328046
