Column1,State/UT,Parliamentary Constituency,Party Name,Winning Candidate,Total Votes,Margin
512,West Bengal,Barrackpur(15),All India Trinamool Congress,PARTHA BHOWMICK,520231,64438
513,West Bengal,Basirhat(18),All India Trinamool Congress,SK NURUL ISLAM,803762,333547
514,West Bengal,Birbhum(42),All India Trinamool Congress,SATABDI ROY,717961,197650
515,West Bengal,Bishnupur(37),Bharatiya Janata Party(BJP),KHAN SAUMITRA,680130,5567
516,West Bengal,Bolpur(41),All India Trinamool Congress,ASIT KUMAR MAL,855633,327253
517,West Bengal,Coochbehar(1),All India Trinamool Congress,JAGADISH CHANDRA BARMA BASUNIA,788375,39250
518,West Bengal,Darjeeling(4),Bharatiya Janata Party(BJP),RAJU BISTA,679331,178525
519,West Bengal,Diamond harbour(21),All India Trinamool Congress,ABHISHEK BANERJEE,1048230,710930
520,West Bengal,Dum dum(16),All India Trinamool Congress,SOUGATA RAY,528579,70660
521,West Bengal,Ghatal(32),All India Trinamool Congress,ADHIKARI DEEPAK (DEV),837990,182868
522,West Bengal,Hooghly(28),All India Trinamool Congress,RACHNA BANERJEE,702744,76853
523,West Bengal,Howrah(25),All India Trinamool Congress,PRASUN BANERJEE,626493,169442
524,West Bengal,Jadavpur(22),All India Trinamool Congress,SAYANI GHOSH,717899,258201
525,West Bengal,Jalpaiguri(3),Bharatiya Janata Party(BJP),DR JAYANTA KUMAR ROY,766568,86693
526,West Bengal,Jangipur(9),All India Trinamool Congress,KHALILUR RAHAMAN,544427,116637
527,West Bengal,Jhargram(33),All India Trinamool Congress,KALIPADA SAREN (KHERWAL),743478,174048
528,West Bengal,Joynagar(19),All India Trinamool Congress,PRATIMA MONDAL,894312,470219
529,West Bengal,Kanthi(31),Bharatiya Janata Party(BJP),ADHIKARI SOUMENDU,763195,47764
530,West Bengal,Kolkata Dakshin(23),All India Trinamool Congress,MALA ROY,615274,187231
531,West Bengal,Kolkata Uttar(24),All India Trinamool Congress,BANDYOPADHYAY SUDIP,454696,92560
532,West Bengal,Krishnanagar(12),All India Trinamool Congress,MAHUA MOITRA,628789,56705
533,West Bengal,Maldaha Dakshin(8),Indian National Congress (INC),ISHA KHAN CHOUDHURY,572395,128368
534,West Bengal,Maldaha Uttar(7),Bharatiya Janata Party(BJP),KHAGEN MURMU,527023,77708
535,West Bengal,Mathurapur(20),All India Trinamool Congress,BAPI HALDAR,755731,201057
536,West Bengal,Medinipur(34),All India Trinamool Congress,JUNE MALIAH,702192,27191
537,West Bengal,Murshidabad(11),All India Trinamool Congress,ABU TAHER KHAN,682442,164215
538,West Bengal,Purulia(35),Bharatiya Janata Party(BJP),JYOTIRMAY SINGH MAHATO,578489,17079
539,West Bengal,Raiganj(5),Bharatiya Janata Party(BJP),KARTICK CHANDRA PAUL,560897,68197
540,West Bengal,Ranaghat(13),Bharatiya Janata Party(BJP),JAGANNATH SARKAR,782396,186899
541,West Bengal,Srerampur(27),All India Trinamool Congress,KALYAN BANERJEE,673970,174830
542,West Bengal,Tamluk(30),Bharatiya Janata Party(BJP),ABHIJIT GANGOPADHYAY,765584,77733
543,West Bengal,Uluberia(26),All India Trinamool Congress,SAJDA AHMED,724622,218673
